Country,City,Year,Month,Number_of_Tourists,Purpose_of_Visit,Average_Length_of_Stay,Tourist_Spending_USD,Hotel_Occupancy_Rate,Number_of_Hotels,Hotel_Rating,Average_Room_Price_USD,Tourism_Revenue_USD,Employment_in_Tourism,Contribution_to_GDP_Percent,Number_of_Flights,Airport_Passenger_Traffic,Transport_Infrastructure_Quality,Eco_Tourism_Revenue_USD,Carbon_Footprint_kg,Waste_Management_Rating,Tourist_Satisfaction_Score,Number_of_Online_Reviews
Brazil,Rio de Janeiro,2024,11,155400,Medical,7.7,3097.62,76.9,157,5-star,262.08,481370.15,45718,5.8,4884,239139,7.7,36866.18,35115401.63,1.0,8.4,6444
Italy,Florence,2022,9,88547,Educational,5.0,4266.69,54.0,240,3-star,203.17,377802.6,38209,10.7,1836,493316,6.9,107513.63,39711717.32,7.9,8.9,7474
Egypt,Luxor,2022,2,191521,Leisure,10.5,4434.02,40.0,492,2-star,99.95,849207.94,20223,8.2,641,314803,4.4,69815.23,50773069.7,8.2,7.4,8572
China,Beijing,2024,9,111709,Religious,13.9,1760.17,82.9,132,1-star,487.75,196626.83,24330,15.3,2831,841507,9.8,40374.59,36157290.23,6.7,7.7,3090
China,Beijing,2024,8,106307,Religious,3.5,3666.59,67.0,473,4-star,168.49,389784.18,11816,9.9,2262,192312,3.7,91910.45,12677868.19,9.1,9.3,7904
United Kingdom,London,2024,3,139709,Cultural,6.4,4950.63,71.3,65,5-star,157.78,691647.57,36600,6.4,2815,235378,3.4,171037.67,46011725.49,6.9,6.3,7951
Egypt,Luxor,2024,7,66288,Leisure,11.6,2863.58,41.6,84,Unrated,423.18,189820.99,49096,1.5,842,82174,1.7,52707.43,18943340.15,2.2,6.7,6848
China,Beijing,2024,5,195639,Leisure,14.3,2503.61,79.4,228,4-star,156.85,489803.76,22862,3.5,1271,605083,5.4,104355.66,93948277.84,6.4,8.7,9402
Spain,Seville,2023,1,90197,Business,13.6,513.14,42.0,311,Unrated,70.54,46283.69,45583,5.5,4957,467216,5.1,7786.9,31479463.6,5.2,7.2,5908
Italy,Rome,2023,4,187868,Leisure,9.0,4343.61,42.5,185,1-star,66.52,816025.32,42755,6.4,840,315972,6.1,145388.73,40841663.3,9.4,7.0,5012
Thailand,Chiang Mai,2020,11,54648,Cultural,12.6,2892.2,84.0,232,3-star,443.4,158052.95,9492,13.8,2017,655842,5.1,44627.31,9076025.95,4.5,8.6,6232
Japan,Osaka,2023,5,184393,Cultural,11.4,4382.96,40.1,207,3-star,165.92,808187.14,5726,1.8,2375,335521,3.3,174829.49,77471234.88,7.0,5.5,1874
Egypt,Luxor,2022,5,60651,Business,9.1,4551.45,60.2,292,5-star,209.65,276049.99,10889,13.7,4700,951321,4.3,54772.51,6310886.58,6.7,9.6,7644
Egypt,Luxor,2021,9,156022,Family Visit,13.4,3757.88,46.0,51,1-star,288.5,586311.95,38154,11.1,4508,734029,5.8,95107.58,20869027.2,4.6,9.6,4769
Thailand,Bangkok,2021,1,169006,Business,8.1,4175.25,43.4,326,5-star,361.62,705642.3,40426,2.5,2620,742148,8.8,139414.73,32197610.79,4.5,7.3,3343
Brazil,Rio de Janeiro,2023,4,89758,Religious,11.9,944.93,84.5,209,2-star,217.03,84815.03,6141,14.4,4500,813799,4.4,7778.81,24433180.94,2.3,9.5,2706
Greece,Athens,2024,7,167961,Religious,10.4,3366.06,57.0,175,Unrated,318.19,565366.8,16120,13.9,1429,782847,3.0,167919.02,47297926.52,7.2,5.7,7080
United Kingdom,Manchester,2024,2,188141,Medical,2.4,2774.55,88.2,309,5-star,94.69,522006.61,12597,1.6,1757,782722,1.2,124787.46,53320890.97,3.6,9.5,2272
United Arab Emirates,Dubai,2023,4,58036,Medical,8.2,2498.57,89.7,250,5-star,492.81,145007.01,25538,19.3,2436,109500,9.7,35292.49,28556242.19,5.3,7.7,8656
Canada,Montreal,2023,10,136836,Educational,12.8,2481.99,55.1,465,4-star,369.06,339625.58,9857,2.1,3489,656590,3.4,99036.3,44209457.98,4.1,7.9,9595
Canada,Vancouver,2021,2,131532,Leisure,7.8,3318.05,64.4,484,5-star,402.07,436429.75,24554,17.7,2651,649253,6.1,89540.16,23744793.67,4.6,5.2,8948
France,Lyon,2024,6,85428,Business,9.1,1524.87,88.2,166,Unrated,319.6,130266.59,31421,11.1,3711,650309,2.2,32257.58,12808077.0,8.1,6.4,657
India,Mumbai,2022,2,98651,Cultural,14.6,4771.0,65.6,157,3-star,267.53,470663.92,34535,10.3,2110,471280,6.1,75450.22,33768446.56,9.3,6.8,3636
Thailand,Phuket,2022,10,163613,Religious,7.9,2495.55,70.1,288,4-star,308.09,408304.42,38132,10.1,3058,622744,1.5,20738.58,58259206.54,3.7,6.2,7842
Egypt,Cairo,2020,10,71826,Religious,7.8,2796.95,71.3,336,4-star,380.31,200893.73,38905,10.1,3920,186917,7.5,44826.04,11044975.04,3.7,6.8,6437
Spain,Barcelona,2020,11,193016,Cultural,5.6,1448.17,87.9,352,Unrated,495.75,279519.98,15503,19.9,4059,848022,1.0,17062.03,45689389.05,6.7,5.3,4336
China,Beijing,2023,6,92727,Business,14.2,4198.67,80.5,306,1-star,430.66,389330.07,15433,3.0,4106,389208,7.5,46752.16,34769151.97,1.2,6.5,3755
Thailand,Phuket,2022,1,91869,Family Visit,12.5,4764.6,43.6,110,1-star,95.42,437719.04,13549,6.7,2922,193521,8.2,99262.26,11032585.38,1.7,7.0,2655
Italy,Rome,2024,1,118487,Educational,5.8,1185.48,53.3,167,1-star,194.67,140463.97,33454,5.3,936,172258,4.2,29771.95,17674500.97,9.0,7.5,5665
Egypt,Luxor,2022,9,171929,Religious,9.6,3311.53,43.6,209,Unrated,286.83,569348.04,36921,14.6,1511,975748,8.2,107108.74,52965815.77,2.3,8.9,5685
Japan,Tokyo,2024,12,124763,Educational,8.5,1779.23,46.7,403,3-star,374.77,221982.07,12016,15.2,1764,663369,8.0,50780.55,42094325.7,9.1,7.9,6156
Australia,Sydney,2022,1,130811,Medical,11.6,1923.22,45.1,114,4-star,108.47,251578.33,10793,7.0,1318,141218,9.2,36310.18,63525924.7,1.8,8.4,6461
United Kingdom,London,2023,7,112368,Educational,14.1,4299.12,73.8,224,1-star,125.13,483083.52,17180,17.6,1428,561511,7.8,138979.83,42814028.43,3.7,5.5,7222
Italy,Florence,2022,4,55842,Religious,10.4,716.84,58.0,353,1-star,223.3,40029.78,30599,9.2,3874,641343,2.9,5691.31,13844644.74,1.5,8.8,2357
Italy,Venice,2022,10,77364,Family Visit,12.7,4326.57,50.6,378,2-star,441.39,334720.76,39773,5.1,3168,551590,6.5,41446.92,11963596.92,6.9,8.7,6569
Canada,Vancouver,2023,9,108283,Cultural,7.1,3709.43,50.0,405,5-star,88.4,401668.21,38002,8.0,2596,840645,8.0,74690.78,15153851.6,7.2,6.2,3273
United States,Los Angeles,2021,2,68199,Leisure,12.9,3692.22,87.4,212,5-star,271.79,251805.71,39926,7.3,4351,741381,3.4,58221.04,30761759.64,1.4,7.0,4023
China,Guangzhou,2023,4,152518,Family Visit,12.1,3978.15,66.1,235,4-star,435.71,606739.48,37245,1.3,2722,164397,4.3,57904.06,41820900.81,4.0,6.7,6298
South Africa,Johannesburg,2023,2,119561,Religious,4.9,3388.37,68.5,257,3-star,184.91,405116.91,25963,11.4,4902,726296,5.9,104293.61,40944695.78,3.6,6.0,8935
Egypt,Luxor,2020,9,140306,Educational,11.2,4718.2,70.2,254,4-star,386.35,661991.77,44382,13.8,1015,162217,9.9,72679.87,43816854.15,6.9,8.2,6783
Spain,Madrid,2024,8,99429,Leisure,6.8,1514.22,49.8,411,Unrated,453.23,150557.38,36226,12.0,960,430596,5.7,41644.96,16460710.53,6.8,9.0,6807
Brazil,Sao Paulo,2023,11,73989,Business,8.1,4505.64,75.4,291,5-star,360.54,333367.8,21241,1.1,2795,543216,9.6,60811.26,14557877.18,5.5,8.4,7657
Egypt,Cairo,2022,5,94605,Business,12.5,2568.49,67.3,446,3-star,256.37,242992.0,35722,4.1,1616,617815,2.9,15185.73,41385890.59,9.8,9.0,9838
United Arab Emirates,Dubai,2021,3,104110,Religious,5.1,4822.82,49.8,404,5-star,274.21,502103.79,35527,19.1,2993,925512,3.0,82717.02,48697969.08,2.6,6.1,9575
United States,San Francisco,2020,12,75372,Educational,13.8,4746.66,88.0,294,Unrated,478.8,357765.26,10366,8.5,2909,451415,8.0,45615.07,14532922.39,5.1,8.9,3767
Canada,Montreal,2021,5,143783,Religious,11.9,4348.43,70.2,470,4-star,54.07,625230.31,23020,8.2,4509,331854,6.7,65973.66,32878570.45,8.6,8.6,5822
Canada,Toronto,2021,2,131050,Family Visit,2.4,2664.01,73.1,59,1-star,455.62,349118.51,45695,19.8,2676,157096,7.8,49899.86,33677658.12,7.8,9.6,3796
China,Shanghai,2024,6,176310,Business,9.5,2107.05,79.4,165,2-star,223.85,371493.99,22076,7.8,3508,756673,9.1,100057.78,86347627.76,1.2,9.2,9356
Mexico,Mexico City,2022,10,84681,Cultural,14.4,1166.8,74.0,474,Unrated,477.71,98805.79,17996,14.7,3371,96002,4.8,13001.32,36909387.72,2.3,7.2,6397
United States,Miami,2023,4,57812,Medical,7.5,4011.64,63.8,448,1-star,295.03,231920.93,40948,12.2,1891,143330,6.3,13498.36,20489554.88,4.3,6.5,2568
Greece,Athens,2021,9,141502,Medical,12.5,4261.22,56.6,73,5-star,208.67,602971.15,24459,3.9,2980,187686,1.4,73868.37,66846109.16,4.5,7.7,4876
France,Nice,2024,3,99976,Cultural,9.7,775.99,58.1,362,2-star,487.89,77580.38,27918,4.9,3656,874834,8.9,4885.64,17640513.64,3.8,8.7,3340
Mexico,Cancun,2022,1,143526,Family Visit,9.9,4532.18,80.9,161,3-star,417.55,650485.67,21589,3.4,3950,188286,8.3,192683.35,57654294.29,4.5,8.0,8563
China,Beijing,2020,9,160138,Educational,7.4,3892.23,41.0,211,3-star,401.28,623293.93,13712,6.1,4051,848729,5.3,87527.65,76815548.44,6.7,5.6,2900
India,Jaipur,2020,1,183682,Family Visit,6.8,4698.16,81.4,153,Unrated,131.09,862967.43,6914,16.3,1506,115942,2.1,226630.7,43687226.98,1.3,5.3,2220
France,Nice,2022,5,71644,Leisure,4.8,3493.16,47.9,386,5-star,365.53,250263.96,30675,13.8,2656,347142,5.9,32032.79,20991704.04,5.6,6.9,7719
Singapore,Sentosa Island,2020,6,121569,Cultural,2.2,4019.77,46.2,127,Unrated,366.66,488679.42,9769,9.3,3886,528108,8.4,91191.28,59181504.55,1.5,7.5,6526
Greece,Athens,2023,6,159903,Educational,13.2,1306.65,80.0,196,1-star,228.45,208937.25,9986,17.7,4231,696238,3.8,25597.19,71726987.32,7.1,9.0,3377
United Arab Emirates,Abu Dhabi,2020,3,177426,Educational,13.1,4918.58,71.4,377,Unrated,73.33,872683.98,5112,1.4,2878,142036,4.2,179182.19,41450259.68,7.6,7.0,6361
Australia,Brisbane,2024,6,50887,Religious,12.2,1785.91,61.6,68,3-star,354.89,90879.6,31049,4.9,951,547952,6.8,19799.92,17958676.78,2.8,7.1,6041
Mexico,Cancun,2022,10,172332,Family Visit,3.3,1750.34,53.8,251,5-star,461.63,301639.59,30991,2.3,701,760672,1.9,56390.37,84715482.04,6.0,5.9,3902
Turkey,Antalya,2020,1,176155,Cultural,3.0,3224.67,65.8,340,3-star,170.84,568041.74,10755,11.4,4617,664553,6.4,39333.97,22941272.6,9.6,6.5,2295
Australia,Melbourne,2023,9,111842,Educational,10.1,3418.27,53.4,339,Unrated,366.71,382306.15,39510,11.7,4668,423216,7.0,74889.66,34704850.84,3.2,5.0,7719
China,Beijing,2023,7,124816,Educational,3.5,2520.88,70.6,364,Unrated,381.44,314646.16,39039,12.2,1109,134381,7.1,47838.15,13250211.52,6.2,6.3,7431
China,Shanghai,2021,5,115618,Educational,14.4,2295.66,82.0,155,4-star,382.73,265419.62,35981,19.6,3204,132289,7.7,34972.0,52724445.27,1.8,9.0,3776
United Arab Emirates,Dubai,2022,10,183498,Educational,11.4,540.74,69.5,322,2-star,296.09,99224.71,30640,5.6,2759,768316,1.8,9904.37,82755399.45,7.6,5.1,5794
China,Shanghai,2024,8,110128,Family Visit,4.8,1718.63,52.4,345,Unrated,209.69,189269.28,32586,5.1,1684,136346,6.4,27074.99,25683385.74,9.0,6.9,5383
Germany,Frankfurt,2020,10,188682,Cultural,5.7,4040.46,59.9,407,5-star,384.3,762362.07,15103,19.8,1190,132409,4.8,77421.19,79225214.33,4.0,9.3,3012
Greece,Santorini,2022,7,141829,Educational,13.2,657.54,79.4,307,Unrated,333.61,93258.24,9458,13.1,1241,527177,5.5,17136.8,22374241.39,8.1,7.1,162
Germany,Munich,2024,10,156133,Medical,12.2,3194.8,50.1,263,2-star,276.18,498813.71,41412,9.9,2635,516755,2.9,59987.1,60139933.96,1.1,7.0,1737
Egypt,Cairo,2021,1,81781,Medical,3.5,2823.91,79.3,397,4-star,348.9,230942.18,36174,14.7,1302,825107,3.6,29433.98,16354791.61,5.6,7.7,8568
Greece,Santorini,2020,6,176270,Cultural,3.0,4426.86,81.4,351,2-star,461.2,780322.61,49895,15.9,1700,131257,3.4,84232.62,40091480.75,9.1,5.4,2694
United Kingdom,Manchester,2022,4,106358,Family Visit,4.5,4364.68,73.8,125,2-star,436.44,464218.64,21322,8.9,3442,888357,3.7,76501.98,28125037.62,7.5,6.9,1747
Australia,Melbourne,2020,12,55520,Educational,11.6,4383.38,66.6,157,4-star,281.72,243365.26,9757,11.3,1220,644557,2.5,66369.09,10916050.18,4.2,5.5,7278
Brazil,Sao Paulo,2020,5,119166,Religious,7.1,1553.92,51.0,461,2-star,307.36,185174.43,48370,11.6,3860,610608,5.9,41498.97,45385376.68,2.5,7.5,5718
Brazil,Sao Paulo,2024,12,182992,Educational,10.2,2896.27,45.8,482,Unrated,273.07,529994.24,32964,7.4,3187,956071,7.2,53827.82,46982052.17,9.1,6.0,916
United States,San Francisco,2024,8,161718,Religious,7.5,581.56,79.6,74,1-star,352.96,94048.72,37130,11.7,4200,998202,7.2,10657.42,16817299.12,7.5,7.7,4004
Japan,Osaka,2023,7,171948,Leisure,12.7,4294.97,64.3,484,5-star,178.48,738511.5,34894,9.6,4934,230882,8.7,199870.73,49267211.98,1.7,6.9,9547
France,Paris,2020,9,73185,Leisure,13.7,1415.63,43.3,71,5-star,265.67,103602.88,32374,11.3,2839,168094,1.6,21972.05,9487862.14,4.4,9.0,2482
Mexico,Cancun,2023,2,129698,Religious,2.9,3781.56,70.4,488,1-star,216.31,490460.77,27010,8.0,3390,442670,7.4,25548.55,24262210.56,7.0,7.4,770
China,Shanghai,2021,2,198961,Educational,12.0,2967.89,43.3,185,3-star,241.73,590494.36,39660,10.9,2353,151158,7.1,141497.49,21060281.21,2.9,8.6,2718
South Africa,Cape Town,2024,10,136598,Educational,10.6,2061.33,59.5,491,1-star,458.7,281573.56,15966,12.5,2312,393615,8.0,74095.02,43254926.97,7.8,6.5,3616
Turkey,Istanbul,2023,12,168028,Religious,11.3,2237.95,69.4,362,1-star,158.68,376038.26,38722,17.4,3281,581147,7.5,88909.86,54301773.1,6.3,5.7,470
United Kingdom,Manchester,2023,6,185958,Educational,10.6,4083.09,53.6,343,5-star,289.96,759283.25,17226,13.1,4751,311497,3.5,162241.57,79870254.96,1.6,8.9,1330
South Africa,Johannesburg,2024,8,93395,Religious,8.0,4924.88,79.3,406,3-star,386.53,459959.17,21544,9.2,1268,578036,3.3,26870.4,42184122.09,3.2,7.8,3291
Thailand,Chiang Mai,2024,8,166525,Family Visit,10.7,1953.62,84.9,236,2-star,281.39,325326.57,37510,18.1,4699,152476,8.4,84981.1,33238971.91,6.2,5.3,2835
United States,San Francisco,2021,7,125403,Cultural,6.2,3866.83,80.3,414,5-star,259.62,484912.08,33302,6.8,3328,899776,9.7,132345.95,55136137.93,4.7,5.1,6744
Germany,Frankfurt,2021,12,151154,Family Visit,2.2,577.17,85.8,482,3-star,393.04,87241.55,35926,10.7,3926,828754,6.6,23215.7,50602520.28,6.2,10.0,4578
China,Beijing,2023,7,189282,Leisure,7.7,3683.29,59.5,325,4-star,306.27,697180.5,16094,18.6,3087,434708,6.7,116653.15,52473464.89,5.4,9.3,2317
Spain,Madrid,2024,5,102691,Family Visit,14.2,2768.02,87.5,238,Unrated,353.65,284250.74,44605,8.1,1598,568420,6.7,18077.69,36732846.88,9.8,5.3,1017
China,Beijing,2023,5,125602,Educational,11.7,4146.16,60.7,153,2-star,367.31,520765.99,14941,12.0,4688,109821,2.5,28530.8,51702937.22,6.5,8.5,4975
Greece,Santorini,2020,4,116677,Business,10.9,4595.96,72.0,139,1-star,230.85,536242.82,24404,12.1,1444,724533,6.8,37343.66,46230448.09,1.9,8.0,7275
Canada,Montreal,2023,3,139049,Cultural,3.1,3230.81,84.0,193,5-star,360.81,449240.9,27250,5.0,1454,510014,7.2,64627.92,58404664.26,9.0,5.6,2359
United Arab Emirates,Dubai,2023,9,165945,Medical,11.0,3213.68,70.9,256,2-star,431.32,533294.13,8805,3.4,4356,85903,9.0,67468.57,53227000.56,8.1,7.1,2717
France,Lyon,2024,2,82101,Cultural,14.3,836.7,61.9,133,1-star,487.88,68693.91,31616,19.4,4831,256903,2.4,6994.29,28918630.35,3.0,5.1,749
Spain,Barcelona,2024,2,196480,Family Visit,6.6,1861.16,88.8,331,3-star,414.06,365680.72,49254,15.8,4761,724174,9.9,43092.36,27395829.4,8.5,8.5,3473
India,Jaipur,2022,4,191407,Family Visit,4.0,2653.23,79.0,177,Unrated,114.84,507846.79,28906,1.1,3716,462736,5.1,64301.46,82104508.2,1.5,7.1,876
Egypt,Cairo,2021,3,180956,Medical,6.5,2962.57,89.6,450,Unrated,437.99,536094.82,14486,1.9,2026,136694,6.1,129354.36,86165399.23,1.1,7.6,944
South Africa,Johannesburg,2020,3,64031,Business,10.5,3018.1,74.4,493,Unrated,212.63,193251.96,37994,16.2,3459,514310,7.3,29767.82,19564050.55,9.1,9.4,2132
India,Mumbai,2020,8,116788,Cultural,8.6,3813.08,65.6,319,3-star,340.14,445321.99,27523,11.5,3392,248303,3.5,36923.16,51606442.61,2.5,9.3,1766
Canada,Toronto,2024,11,56901,Cultural,12.7,1785.68,86.4,249,1-star,301.44,101606.98,30805,5.8,3453,922834,9.0,13652.94,22292987.19,6.2,6.7,407
Japan,Osaka,2021,5,178126,Family Visit,4.9,1481.93,83.7,432,3-star,168.46,263970.26,20916,17.5,775,331075,7.8,23232.59,50468339.44,4.2,5.5,3229
Greece,Athens,2024,3,153751,Business,14.0,680.27,54.6,313,2-star,466.04,104592.19,6134,18.3,2020,287723,7.8,9269.28,45342114.18,4.9,8.0,970
Australia,Brisbane,2024,5,99649,Family Visit,7.2,4223.99,48.5,143,1-star,142.0,420916.38,18878,13.3,642,931864,5.2,102446.07,14883607.13,6.6,6.4,1948
France,Marseille,2023,4,81027,Leisure,14.1,4983.79,79.8,380,5-star,252.07,403821.55,30864,7.4,2004,856124,2.0,81604.21,17211747.24,2.6,6.9,3403
United States,San Francisco,2020,6,102265,Family Visit,7.1,3878.46,46.3,322,4-star,144.85,396630.71,46692,17.3,923,864486,9.3,56111.92,23236635.81,7.7,7.2,5931
Germany,Berlin,2024,5,158464,Medical,5.0,2052.88,41.5,164,4-star,182.2,325307.58,39642,13.1,2542,631904,6.9,31905.35,34586640.51,6.6,8.0,7511
United Kingdom,Manchester,2022,4,94757,Family Visit,5.6,1767.27,88.2,357,1-star,355.15,167461.2,34648,14.4,3247,559421,8.2,20017.02,14867571.9,3.8,9.2,2061
Australia,Brisbane,2023,3,62497,Business,14.9,2934.51,89.2,257,4-star,253.77,183398.07,25389,2.2,4732,880351,7.4,21684.53,14784922.03,5.0,9.6,5798
Australia,Brisbane,2022,5,116809,Educational,2.1,770.43,85.2,453,5-star,389.24,89993.16,49041,4.4,4747,157524,2.0,25682.54,48321835.61,5.2,9.3,6405
Italy,Florence,2021,6,68782,Cultural,6.6,3908.59,54.8,225,5-star,360.98,268840.64,47229,4.6,4470,336073,6.4,71453.51,29507330.79,2.6,7.4,2441
Japan,Osaka,2022,8,154188,Medical,8.4,1849.74,69.8,351,1-star,334.51,285207.71,14175,3.2,2617,347584,1.4,29797.7,16354837.25,6.2,5.5,2873
United Kingdom,Manchester,2022,9,95927,Cultural,10.5,4542.74,60.0,394,5-star,474.2,435771.42,8783,16.7,4787,936788,1.9,30031.31,23465332.7,1.8,7.9,684
Thailand,Phuket,2023,10,80266,Business,9.7,3824.9,41.6,79,1-star,438.56,307009.42,44019,3.0,2125,847388,6.1,38096.62,38152540.11,8.4,9.9,2604
India,Mumbai,2021,9,81417,Religious,7.6,2063.83,42.5,101,4-star,62.26,168030.85,26031,19.8,2932,791184,2.2,37334.88,37378335.18,7.7,5.4,2128
Greece,Athens,2020,3,97111,Business,4.1,733.04,67.9,190,5-star,88.11,71186.25,18136,7.8,3321,111602,3.0,10339.65,41113135.88,8.4,6.9,2562
Turkey,Antalya,2024,9,59460,Family Visit,4.7,575.4,74.0,107,4-star,357.74,34213.28,12384,12.4,3576,198441,4.7,3089.62,21558046.01,9.7,7.8,4721
Singapore,Singapore City,2023,4,108829,Family Visit,2.9,2379.5,45.8,68,4-star,398.11,258958.61,20086,13.6,2966,797410,3.1,57058.49,51810578.61,1.4,6.6,6624
Thailand,Bangkok,2022,9,176278,Cultural,5.3,976.43,57.7,190,1-star,289.25,172123.13,14343,13.5,4407,804471,2.4,44205.62,20583292.23,4.8,5.8,2384
Canada,Vancouver,2021,1,186385,Family Visit,9.2,1541.21,65.1,220,Unrated,168.05,287258.43,8558,5.2,4347,761238,9.4,80175.3,66011181.96,6.7,7.0,9773
United Kingdom,Manchester,2024,8,77877,Medical,8.9,3548.47,61.4,109,2-star,249.76,276344.2,45317,3.8,952,60589,5.9,72171.84,21223093.19,4.4,9.6,8579
South Africa,Cape Town,2020,5,100599,Business,9.1,1734.73,85.1,55,Unrated,196.35,174512.1,41730,11.6,3677,184794,7.4,39121.04,23111445.56,3.1,6.1,825
Germany,Frankfurt,2024,6,93461,Educational,7.7,1095.82,59.1,296,4-star,169.67,102416.43,32386,15.8,2623,402854,5.1,16155.78,20729370.64,2.8,5.3,224
India,Mumbai,2023,11,135166,Educational,7.5,2736.03,85.8,330,Unrated,122.1,369818.23,36980,11.7,3596,444825,9.1,26268.9,34770313.11,1.9,5.1,9649
South Africa,Johannesburg,2022,1,127154,Educational,9.8,1233.59,51.7,60,5-star,423.57,156855.9,45149,19.5,4292,178447,3.5,18733.26,14542866.55,9.3,6.1,9075
Canada,Montreal,2020,7,100705,Educational,13.2,3790.21,87.3,490,5-star,404.32,381693.1,30006,5.7,2845,983963,4.3,73114.75,10322563.45,1.6,7.7,4786
Germany,Frankfurt,2021,2,82766,Medical,11.8,1093.84,65.7,112,Unrated,72.76,90532.76,23443,8.8,4126,489358,3.0,9643.53,35334636.59,9.4,5.5,2943
Brazil,Rio de Janeiro,2022,10,144837,Educational,6.4,4418.1,44.2,449,Unrated,199.4,639904.35,6094,2.0,3695,280780,5.0,85491.41,37343168.17,5.8,5.8,4813
Greece,Santorini,2024,12,184164,Medical,12.5,3920.72,47.7,197,1-star,380.26,722055.48,9926,7.9,3465,381999,7.1,46334.38,20970585.56,4.5,8.5,9121
United Arab Emirates,Abu Dhabi,2021,3,133829,Leisure,5.4,4487.39,84.8,469,4-star,104.95,600542.92,36730,8.8,3906,638216,2.3,111938.52,19035384.4,1.4,8.3,3848
Singapore,Sentosa Island,2023,7,76553,Religious,2.5,4953.9,41.5,186,4-star,120.29,379235.91,15374,3.2,989,552237,4.2,91175.51,23182772.32,6.7,9.9,387
South Africa,Cape Town,2022,1,72337,Family Visit,7.6,2508.99,70.9,322,2-star,275.32,181492.81,45975,4.8,744,820974,7.2,46429.18,23326966.45,8.0,5.1,8597
United Arab Emirates,Dubai,2024,8,61984,Business,13.6,4963.83,54.7,230,2-star,394.41,307678.04,26889,12.4,1631,978274,2.1,90699.76,22905292.11,8.6,6.6,2637
Egypt,Cairo,2023,9,65216,Cultural,14.3,3946.23,40.3,231,1-star,243.08,257357.34,41635,15.6,943,869497,3.1,53101.19,26010182.51,3.0,5.3,1360
Mexico,Puerto Vallarta,2024,10,136483,Religious,11.1,1010.48,89.8,209,5-star,265.34,137913.34,10543,3.4,2381,95256,6.6,34711.32,59616629.41,5.3,8.9,1509
France,Nice,2020,9,76270,Educational,12.5,2290.48,80.3,150,2-star,309.6,174694.91,7172,1.5,3464,299737,5.9,45412.83,11516333.13,8.2,9.3,6235
United Arab Emirates,Abu Dhabi,2024,6,186645,Leisure,11.3,1820.09,66.3,385,Unrated,497.49,339710.7,7776,6.8,3488,865267,6.5,66345.11,37600423.3,7.8,5.4,5160
Brazil,Rio de Janeiro,2020,2,180499,Family Visit,6.2,1074.99,62.1,255,4-star,377.95,194034.62,12148,16.9,2864,915990,2.1,49160.34,84780688.92,5.1,7.5,8040
Brazil,Rio de Janeiro,2020,6,73382,Family Visit,11.5,4009.19,45.9,402,2-star,56.14,294202.38,18666,7.8,4678,153533,1.1,54449.46,32321857.31,9.6,7.8,425
Canada,Vancouver,2020,12,59726,Educational,9.1,2209.91,70.4,268,1-star,158.13,131989.08,47230,10.1,4578,100519,4.6,9491.66,7544869.29,9.0,7.3,4066
India,Mumbai,2023,5,139524,Religious,6.0,2312.17,73.6,375,3-star,316.54,322603.21,7994,7.9,3256,579882,2.1,62314.27,28281151.83,8.2,7.1,8054
India,Delhi,2023,6,155573,Business,3.2,4011.57,73.7,490,1-star,178.04,624091.98,48059,10.3,4425,563066,2.8,50793.25,75513886.35,2.0,7.4,398
Germany,Munich,2022,5,106396,Cultural,9.0,887.14,42.9,88,3-star,488.96,94388.15,17254,2.3,2302,388585,3.7,26724.7,32906710.48,3.4,7.0,2007
Spain,Madrid,2024,6,185909,Family Visit,10.5,1192.64,88.9,377,2-star,312.41,221722.51,23350,7.9,4862,138422,5.2,21614.4,70774684.3,6.0,6.8,1752
Egypt,Cairo,2022,8,168580,Leisure,6.1,755.97,78.3,167,Unrated,186.36,127441.42,48123,13.8,1598,695424,7.1,16160.81,41809493.71,6.0,9.0,3669
Canada,Vancouver,2023,7,90475,Family Visit,9.5,2055.31,80.8,78,2-star,202.69,185954.17,32405,4.1,1297,201899,10.0,30298.42,21885126.47,4.6,5.6,1046
Mexico,Mexico City,2023,9,64693,Cultural,7.0,3468.61,62.1,293,Unrated,228.63,224394.79,16350,8.9,4090,409701,2.2,22307.04,11140606.3,3.4,7.6,6206
Spain,Madrid,2023,7,95875,Business,5.9,1231.42,73.8,53,2-star,380.46,118062.39,13693,2.1,2618,113965,4.3,8813.19,14054425.53,3.3,6.5,9047
Italy,Venice,2020,4,98785,Educational,4.2,4454.46,67.9,300,4-star,244.75,440033.83,35979,12.7,4122,545919,3.9,73696.36,29733924.51,2.8,6.6,5285
India,Mumbai,2021,1,166843,Family Visit,13.9,2119.07,55.3,304,Unrated,473.4,353552.0,13448,7.1,2381,55209,2.6,81499.58,19372842.72,4.6,7.6,8033
Italy,Venice,2022,6,153780,Religious,2.1,4527.79,47.5,61,1-star,477.74,696283.55,13346,7.5,1769,885988,1.1,74274.42,50248709.68,4.2,8.1,5706
South Africa,Johannesburg,2023,10,185028,Leisure,3.5,1071.93,49.5,259,Unrated,222.45,198337.06,43308,18.2,1390,521761,3.4,34884.86,23543630.65,3.0,9.7,9741
Australia,Melbourne,2022,9,105798,Business,9.8,2363.63,87.9,447,5-star,124.08,250067.33,46183,5.2,2154,324864,6.1,24058.88,13101478.29,6.4,8.8,8771
